train/success_rate,stats_g/mean,stats_g/std,stats_o/std,test/steps,train/episode,test/success_rate,test/reward,train/reward,test/mean_Q,test/episode,stats_o/mean,epoch,train/steps
0.0,0.04461234,0.9940753,1.1802895,1000.0,30.0,0.0,-193.3541065558395,-278.5227933775561,-2.6944604,20.0,-0.028935086,0,1500.0
0.0,0.03276197,0.9616701,1.1349915,2000.0,60.0,0.0,-161.53216044548947,-268.6429557093678,-4.3161535,40.0,0.026324244,1,3000.0
0.0,0.009649983,0.93930876,1.0932277,3000.0,90.0,0.0,-193.05988011342333,-160.04345820314586,-4.6174035,60.0,-0.009491428,2,4500.0
0.0,0.008090479,0.93010616,1.0658858,4000.0,120.0,0.0,-111.55160941005977,-140.32691974151112,-5.3451834,80.0,-0.006146809,3,6000.0
0.0,0.006868679,0.92203116,1.043825,5000.0,150.0,0.0,-183.31098648060885,-170.89129546010673,-5.7898555,100.0,-0.0061529484,4,7500.0
0.016666666666666666,-0.008150896,0.91547817,1.0194249,6000.0,180.0,0.0,-68.48818168519875,-177.36541722221324,-4.403036,120.0,-0.008812815,5,9000.0
0.0,0.0016863905,0.91562885,0.99485296,7000.0,210.0,0.1,-99.00914626547198,-124.23606205781643,-5.4933167,140.0,-0.004183555,6,10500.0
0.0,0.00983738,0.9119059,0.98268104,8000.0,240.0,0.1,-87.59964006768831,-124.19671401991354,-4.733639,160.0,-8.70832e-05,7,12000.0
0.03333333333333333,0.015197922,0.90829265,0.9633486,9000.0,270.0,0.125,-82.50691873237281,-104.8092263235747,-4.3388658,180.0,0.007990444,8,13500.0
0.1,0.017664656,0.90785015,0.9519774,10000.0,300.0,0.5,-119.95488653456437,-148.16852927680048,-5.1604576,200.0,0.011824196,9,15000.0
0.13333333333333333,0.013905076,0.901428,0.9363829,11000.0,330.0,0.55,-74.59440666992262,-93.48584779555125,-5.711011,220.0,0.0121329585,10,16500.0
