train/success_rate,epoch,test/success_rate,train/episode,stats_o/mean,test/reward,stats_g/std,test/mean_Q,test/steps,test/episode,train/reward,stats_g/mean,stats_o/std,train/steps
0.0,0,0.0,30.0,0.12918249,-209.22646296819323,0.93310636,-3.1221833,1000.0,20.0,-241.44311371265297,0.09964373,1.1037233,1500.0
0.0,1,0.0,60.0,0.011796987,-199.93701474691244,0.91822284,-3.8846366,2000.0,40.0,-247.15413862424526,0.018880926,1.0877731,3000.0
0.0,2,0.0,90.0,-0.008162545,-173.59898629206145,0.87633735,-4.0874567,3000.0,60.0,-188.21795261078117,0.0005994234,1.0570297,4500.0
0.0,3,0.0,120.0,0.0039509246,-128.05454380983093,0.8677932,-4.3462505,4000.0,80.0,-186.87786237052597,-0.0066673933,1.0353003,6000.0
0.0,4,0.025,150.0,0.019145515,-149.07941009949462,0.856674,-4.60421,5000.0,100.0,-163.60199926555242,0.006918523,1.0101001,7500.0
0.0,5,0.2,180.0,0.026668664,-75.62422851157564,0.85698754,-4.9117055,6000.0,120.0,-154.13282382412567,0.013015771,0.9865892,9000.0
0.03333333333333333,6,0.525,210.0,0.03111117,-74.9184115375451,0.86187327,-5.1421657,7000.0,140.0,-110.09792005729298,0.012786916,0.9668627,10500.0
0.2,7,0.95,240.0,0.021329183,-85.26453611379776,0.85315424,-4.5092173,8000.0,160.0,-105.34525338628347,0.01936571,0.94738495,12000.0
0.16666666666666669,8,1.0,270.0,0.016231893,-60.96695195010584,0.851787,-4.0984254,9000.0,180.0,-100.0772806783599,0.016782867,0.9296942,13500.0
0.3333333333333333,9,1.0,300.0,0.009934038,-71.9278484362066,0.8526773,-4.285246,10000.0,200.0,-133.49272470820895,0.012118876,0.91790926,15000.0
